Currency_union_member_1;Currency_union_member_2;End
Djibouti ;Comoros ;1949
Djibouti ;Congo, Rep. of ;1949
Djibouti ;Cöte d'Ivoire (Ivory Coast);1949
Djibouti;Gabon;1949
Djibouti;Guinea;1949
Djibouti;Madagascar;1949
Djibouti;Mali;1949
Djibouti;Mauritania;1949
Djibouti;Niger;1949
Djibouti;Reunion;1949
Djibouti;Senegal;1949
Djibouti;Togo;1949
Dominica;Grenada;ongoing
Dominica;Guyana;1971
Dominica;Montserrat;ongoing
Dominica;St. Kitts & Nevis;ongoing
Dominica;St. Lucia;ongoing
Dominica;St. Vincent & Gren.;ongoing
Dominica;Trinidad & Tobago;1976
Equatorial Guinea;Burkina Faso;ongoing
Equatorial Guinea;Cöte d'Ivoire (Ivory Coast);ongoing
Equatorial Guinea;Gabon ;ongoing
Equatorial Guinea;Guinea-Bissau;ongoing
Equatorial Guinea;Mali;ongoing
Equatorial Guinea;Niger;ongoing
Equatorial Guinea;Senegal;ongoing
Equatorial Guinea;Togo;ongoing
France;Algeria;1969
France;French Guiana;ongoing
France;Guadeloupe;ongoing
France;Martinique;ongoing
France;Morocco;1959
France;Reunion;ongoing
France;St. Pierre & Miquelon;ongoing
France;Tunisia;1958
Gabon;Burkina Faso;ongoing
Gabon;Cöte d'Ivoire (Ivory Coast);ongoing
Gabon;Guinea;1969
Gabon;Guinea-Bissau;ongoing
Gabon;Madagascar;1982
Gabon;Mali;ongoing
Gabon;Mauritania;1974
Gabon;Niger;ongoing
Gabon;Reunion;1976
Gabon;Senegal;ongoing
Gabon;Togo;ongoing
Gambia;Ghana;1965
Gambia;Nigeria;1967
Gambia;Sierra Leone;1965
Ghana;Nigeria;1965
Ghana;Sierra Leone;1965
Grenada;Guyana;1971
Grenada;Montserrat;ongoing
Grenada;St. Kitts & Nevis ;ongoing
Grenada;St. Lucia ;ongoing
Grenada;St. Vincent & Gren.;ongoing
Grenada;Trinidad & Tobago;1976
Guinea;Burkina Faso;1969
Guinea;Cöte d'Ivoire (Ivory Coast);1969
Guinea;Madagascar;1969
Guinea;Mali;1969
Guinea;Mauritania;1969
Guinea;Niger;1969
Guinea;Reunion;1969
Guinea;Senegal;1969
Guinea;Togo;1969
Guinea-Bissau;Burkina Faso;ongoing
Guinea-Bissau;Cöte d'Ivoire (Ivory Coast);ongoing
Guinea-Bissau;Mali;ongoing
Guinea-Bissau;Niger;ongoing
Guinea-Bissau;Senegal;ongoing
Guinea-Bissau;Togo;ongoing
Guyana;Montserrat;1971
Guyana;St. Kitts & Nevis;1971
Guyana;St. Lucia;1971
Guyana;St. Vincent & Gren.;1971
Guyana;Trinidad & Tobago;1971
India;Maldives;1966
India;Mauritius;1966
India;Pakistan;1966
India;Seychelles;1966
Kenya;Somalia;1971
Kenya;Tanzania;1978
Kenya;Uganda;1978
Kuwait;India;1961
Lesotho;Swaziland;ongoing
Madagascar;Burkina Faso;1982
Madagascar;Mali;1982
Madagascar;Mauritania;1974
Madagascar;Niger;1982
Madagascar;Reunion;1976
Madagascar;Senegal;1982
Madagascar;Togo;1982
Malawi;Zambia;1967
Malawi;Zimbabwe;1967
Malaysia;Singapore;1971
Maldives;Mauritius;1967
Maldives;Pakistan;1971
Mali;Burkina Faso;ongoing
Mali;Mauritania;1974
Mali;Niger;ongoing
Mali;Reunion;1976
Mali;Senegal;ongoing
Mali;Togo;ongoing
Mauritania;Burkina Faso;1974
Mauritania;Niger;1974
Mauritania;Reunion;1974
Mauritania;Senegal;1974
Mauritania;Togo;1974
Mauritius;Seychelles;1976
Montserrat;St. Kitts & Nevis;ongoing
Montserrat;St. Lucia ;
Montserrat;St. Vincent & Gren.;
Montserrat;Trinidad & Tobago;1976
Netherlands Antilles;Suriname;1994
New Caledonia;French Polynesia;ongoing
New Caledonia;Vanuatu;1971
New Caledonia;Wallis & Futuna;ongoing
New Zealand;Samoa;1967
Niger;Burkina Faso;ongoing
Niger;Reunion;1976
Niger;Senegal;ongoing
Niger;Togo;ongoing
Nigeria;Sierra Leone;1965
Oman;India;1970
Pakistan;Mauritius;1967
Pakistan;Seychelles;1967
Portugal;Angola;1976
Portugal;Cape Verde;1977
Portugal;Guinea-Bissau;1977
Portugal;Mozambique;1977
Portugal;Sao Tome & Principe;1977
Qatar;India;1966
Qatar;United Arab Emirates;ongoing
Reunion;Burkina Faso;1976
Reunion;Senegal;1976
Reunion;Togo;1976
Senegal;Burkina Faso;ongoing
Senegal;Togo;ongoing
Somalia;Tanzania;1971
Somalia;Uganda;1971
South Africa;Botswana;1977
South Africa;Lesotho;ongoing
South Africa;Swaziland;ongoing
Spain;Equatorial Guinea;1969
Sri Lanka;India;1966
Sri Lanka;Pakistan;1967
St. Kitts & Nevis;St. Lucia;ongoing
St. Kitts & Nevis;St. Vincent & Gren.;ongoing
St. Kitts & Nevis;Trinidad & Tobago;1976
St. Pierre & Miquelon;Benin;1976
St. Pierre & Miquelon;Burkina Faso;1976
St. Pierre & Miquelon;Cameroon;1976
St. Pierre & Miquelon;Central African Rep.;1976
St. Pierre & Miquelon;Chad;1976
St. Pierre & Miquelon;Comoros;1976
St. Pierre & Miquelon;Congo, Rep. of;1976
St. Pierre & Miquelon;Cote d’Ivoire (Ivory Coast);1976
St. Pierre & Miquelon;Djibouti;1949
St. Pierre & Miquelon;Gabon;1976
St. Pierre & Miquelon;Guinea;1969
St. Pierre & Miquelon;Madagascar;1976
St. Pierre & Miquelon;Mali;1976
St. Pierre & Miquelon;Mauritania;1974
St. Pierre & Miquelon;Niger;1976
St. Pierre & Miquelon;Reunion;1976
St. Pierre & Miquelon;Senegal;1976
St. Pierre & Miquelon;Togo;1976
St. Lucia;St. Vincent & Gren.;ongoing
St. Lucia;Trinidad & Tobago;1976
St. Vincent & Gren.;Trinidad & Tobago;1976
Tanzania;Uganda;1978
Togo;Burkina Faso;ongoing
United Kingdom;Bahamas;1966
United Kingdom;Bermuda;1970
United Kingdom;Cyprus;1972
United Kingdom;Falkland Islands;ongoing
United Kingdom;Gambia;1971
United Kingdom;Ghana;1965
United Kingdom;Gibraltar;ongoing
United Kingdom;Iraq;1967
United Kingdom;Ireland;1979
United Kingdom;Israel;1954
United Kingdom;Jamaica;1969
United Kingdom;Jordan;1967
United Kingdom;Kenya;1967
United Kingdom;Kuwait;1967
United Kingdom;Libya;1967
United Kingdom;Malawi;1971
United Kingdom;Malta;1971
United Kingdom;New Zealand;1967
United Kingdom;Nigeria;1967
United Kingdom;Oman;1971
United Kingdom;Samoa;1967
United Kingdom;Sierra Leone;1965
United Kingdom;Somalia;1967
United Kingdom;South Africa;1961
United Kingdom;St. Helena;ongoing
United Kingdom;Tanzania;1967
United Kingdom;Uganda;1967
United Kingdom;Yemen, P.D.R.;1972
United Kingdom;Yemen, Republic of;1972
United Kingdom;Zambia;1967
United Kingdom;Zimbabwe;1967
United States;American Samoa;ongoing
United States;Bahamas;ongoing
United States;Belize;1949
United States;Bermuda;ongoing
United States;Dominican Rep.;1985
United States;Guam;ongoing
United States;Guatemala;1986
United States;Liberia;ongoing
United States;Panama;ongoing
Vanuatu;French Polynesia;1971
Vanuatu;Wallis & Futuna;1971
Wallis & Futuna;French Polynesia;ongoing
Yemen,P.D.R.;India;1951
Yemen,P.D.R.;Kenya;1972
Yemen,P.D.R.;Somalia;1971
Yemen,P.D.R.;Tanzania;1972
Yemen,P.D.R.;Uganda;1972
Yemen,Republic of;India;1951
Yemen,Republic of;Kenya;1972
Yemen,Republic of;Somalia;1971
Yemen,Republic of;Tanzania;1972
Yemen,Republic of;Uganda;1972
Zimbabwe;Zambia;1967
